#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
DB,"Burris, Juston",6002,212,31 1/2,8 7/8,"36.5""","10'2""",DB,72.25,,,36.5,122
DB,"Bush, Deon",6003,199,30 7/8,9 1/4,"36""","10'3""",DB,72.375,,,36,123
DB,"Calhoun, Taveze",6003,192,31 7/8,9,"33.5""",NA,DB,72.375,,,33.5,NA
DB,"Canady, Maurice",6010,193,31 5/8,9 1/8,"38""","10'4""",DB,73,,,38,124
DB,"Carter, Tevin",6012,218,32,9 1/4,NA,NA,DB,73.25,,,NA,NA
DB,"Cash, Jeremy",6003,212,32 3/8,10 1/2,NA,NA,DB,72.375,,,NA,NA
DB,"Crawley, Ken",6003,187,30 1/2,9,"36.5""","9'11""",DB,72.375,,,36.5,119
DB,"Davis, Sean",6010,201,31 3/8,9 1/2,"37.5""","10'6""",DB,73,,,37.5,126
DB,"Dillon, K.J.",6003,210,31 5/8,9 5/8,NA,"10'1""",DB,72.375,,,NA,121
DB,"Elliott, DeAndre",6007,188,32,9 5/8,"41""","10'5""",DB,72.875,,,41,125
DB,"Frazier, Kavon",5117,217,32 1/4,9,NA,NA,DB,71.875,,,NA,NA
DB,"Fuller, Kendall",5114,187,31 1/2,10,NA,NA,DB,71.5,,,NA,NA
DB,"Green, T.J.",6024,209,32,9 5/8,"35.5""","10'9""",DB,74.5,,,35.5,129
DB,"Hall, Deiondre",6015,199,34 3/8,9 3/4,"37""","10'7""",DB,73.625,,,37,127
DB,"Hargeaves III, Vernon",5104,204,30 5/8,8 3/4,"39""","10'10""",DB,70.5,,,39,130
DB,"Harris, De'Vante",5105,176,30 5/8,8 1/8,"38.5""","10'4""",DB,70.625,,,38.5,124
DB,"Houston-Carson, Deandre",6006,201,30 1/8,9 1/8,"32.5""","9'7""",DB,72.75,,,32.5,115
DB,"Howard, Xavien",6001,201,31 1/4,9 1/8,"33""","10'2""",DB,72.125,,,33,122
DB,"Jackson III, William",6003,189,31 3/4,9 1/4,NA,"9'8""",DB,72.375,,,NA,116
DB,"Jones, Cyrus",5097,197,31 3/8,9 1/8,"33""","9'8""",DB,69.875,,,33,116
DB,"Jones, Jonathan",5091,186,30 1/4,8 3/4,"36""","10'3""",DB,69.125,,,36,123
DB,"Joseph, Karl",5095,205,32 1/8,9 3/4,NA,NA,DB,69.625,,,NA,NA
DB,"Kearse, Jayron",6040,216,34 1/4,9 5/8,"31.5""","10'4""",DB,76,,,31.5,124
DB,"Killebrew, Miles",6017,217,32 1/8,9 1/2,"38""","10'7""",DB,73.875,,,38,127
DB,"Kindred, Derrick",5100,207,31 1/4,9 3/8,"37.5""","10'3""",DB,70,,,37.5,123
DB,"Lomax, Jordan",5097,202,32,8 3/4,"36""",10',DB,69.875,,,36,120
DB,"Lucas, Jordan",5115,201,30 1/8,10,NA,NA,DB,71.625,,,NA,NA
DB,"Miller, Harlan",5117,182,30 7/8,8 3/8,"35.5""","9'10""",DB,71.875,,,35.5,118
DB,"Mills, Jalen",6000,191,31 1/8,9 1/8,"37""","10'3""",DB,72,,,37,123
DB,"Murray, Eric",5105,199,31 3/4,9,"39.5""","10'4""",DB,70.625,,,39.5,124
DB,"Neal, Keanu",6004,211,32 3/4,10 5/8,"38""",11',DB,72.5,,,38,132
DB,"Peterson, Kevin",5103,173,30 1/2,9 7/8,"35.5""","10'1""",DB,70.375,,,35.5,121
DB,"Powell, Tyvis",6026,211,32 3/4,9 1/2,"34.5""",10',DB,74.75,,,34.5,120
DB,"Pruitt, Jimmy",5115,198,30 3/8,9 3/8,"32""","9'9""",DB,71.625,,,32,117
DB,"Ramsey, Jalen",6012,209,33 3/8,9 1/2,"41.5""","11'3""",DB,73.25,,,41.5,135
DB,"Redmond, Will",5106,182,30 3/8,9 1/8,NA,NA,DB,70.75,,,NA,NA
DB,"Robinson, Rashard",6014,171,32 1/4,9,"35.5""","10'1""",DB,73.5,,,35.5,121
DB,"Russell, Keivarae",5111,192,31 5/8,10,NA,NA,DB,71.125,,,NA,NA
DB,"Sanchez, Zack",5107,185,31 3/8,9 3/8,"35.5""","9'8""",DB,70.875,,,35.5,116
DB,"Seymour, Kevon",5114,186,30 3/4,9,"35""","10'4""",DB,71.5,,,35,124
DB,"Shumate, Elijah",5116,216,31 1/8,9 3/4,"33""","9'11""",DB,71.75,,,33,119
DB,"Simmons, Justin",6023,202,32 5/8,9 5/8,"40""","10'6""",DB,74.375,,,40,126
DB,"Sims, Leshaun",6004,203,31 5/8,8 1/8,"37""",10',DB,72.5,,,37,120
DB,"Smith, Ryan",5107,189,30 1/2,8 7/8,"36""","10'2""",DB,70.875,,,36,122
DB,"Stamps, A.J.",5107,193,31 3/8,9 5/8,"33""","9'7""",DB,70.875,,,33,115
DB,"Thompson, Darian",6017,208,30 3/8,9 1/8,"32.5""","9'10""",DB,73.875,,,32.5,118
DB,"Wallace, Cleveland",5106,188,31 3/4,9 1/2,"35.5""","10'3""",DB,70.75,,,35.5,123
DB,"White, D.J.",5107,193,31 1/2,9 1/4,"33""",11',DB,70.875,,,33,132
DB,"Williams, Brandon",5113,197,32 1/2,8 5/8,"30.5""","9'10""",DB,71.375,,,30.5,118
