Position.x,Name,Weight.x,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad,Source_File,Link,Height,Weight.y,Dash40,Shuttle20,Vertical,Position.y,SPARQ,Power_Throw
WO,Robert Davis,219,74.625,33,9.625,41,136,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/127723/robert-davis,68,160,4.58,4.38,30.3,rb,NA,NA
WO,Travin Dural,202,72.75,32.125,9.125,30.5,116,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/123080/travin-dural,73,175,4.72,4.51,25.5,wr,NA,NA
WO,Shelton Gibson,191,70.75,32,8.875,32,118,104,https://www.espn.com/college-sports/football/recruiting/player/_/id/143705/shelton-gibson,71,173,4.48,4.3,27,wr,NA,NA
WO,Keon Hatcher,212,73.25,32,9.5,NA,NA,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/109309/keon-hatcher,74,205,4.5,4.62,33.5,wr,NA,NA
WO,Isaiah McKenzie,173,67.5,28.875,8.875,36,123,4,https://www.espn.com/college-sports/football/recruiting/player/_/id/170222/isaiah-mckenzie,68,160,4.56,4.54,36,at,87.84,35
WO,Speedy Noil,199,71,30,9.25,43.5,133,4,https://www.espn.com/college-sports/football/recruiting/player/_/id/167452/speedy-noil,72,176,4.45,3.87,44.1,at,153.9,41
WO,James Quick,186,71.875,30.75,9,31,115,104,https://www.espn.com/college-sports/football/recruiting/player/_/id/134592/james-quick,72,180,4.72,4.65,27.6,wr,NA,NA
WO,Darreus Rogers,216,73,32,10.125,26.5,112,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/94413/darreus-rogers,73,195,4.6,NA,NA,wr,NA,NA
WO,Curtis Samuel,196,71,31.25,9.5,37,119,4,https://www.espn.com/college-sports/football/recruiting/player/_/id/176117/curtis-samuel,71,186,4.36,4.07,40.7,at,126.78,35
WO,Ryan Switzer,181,68.5,28,9.25,32,116,104,https://www.espn.com/college-sports/football/recruiting/player/_/id/135980/ryan-switzer,69,170,4.52,3.91,32.5,wr,NA,NA
WO,Trent Taylor,181,68,28.75,8.25,33,117,29,https://www.espn.com/college-sports/football/recruiting/player/_/id/85449/trent-taylor,75,245,5.52,NA,19,dt,NA,NA
WO,Mike Williams,218,75.625,33.375,9.375,32.5,121,33,https://www.espn.com/college-sports/football/recruiting/player/_/id/198324/mike-williams,74,305,NA,4.85,24.9,dt,NA,NA
TE,Bucky Hodges,257,78,32.5,10.125,39,134,65,https://www.espn.com/college-sports/football/recruiting/player/_/id/112913/bucky-hodges,78,220,4.7,4.37,34.8,qb,NA,NA
OL,Zach Banner,353,80.375,34.875,10.75,23.5,92,57,https://www.espn.com/college-sports/football/recruiting/player/_/id/112075/zach-banner,80,305,5.54,5.34,19.6,ot,NA,NA
OL,Adam Bisnowaty,304,77.625,33.875,11.375,29.5,96,57,https://www.espn.com/college-sports/football/recruiting/player/_/id/86250/adam-bisnowaty,78,277,5.21,4.72,26,ot,NA,NA
OL,Jessamen Dunker,318,76.25,33.5,10,28.5,108,43,https://www.espn.com/college-sports/football/recruiting/player/_/id/127837/jessamen-dunker,78,315,5.13,5.02,24.3,og,NA,NA
OL,Damien Mama,334,75,35,11,24.5,96,45,https://www.espn.com/college-sports/football/recruiting/player/_/id/165381/damien-mama,76,370,5.97,4.84,22.8,og,NA,NA
OL,Sam Tevi,311,77,34,10.125,26,107,30,https://www.espn.com/college-sports/football/recruiting/player/_/id/138457/sam-tevi,77,271,5.3,4.63,26.8,dt,NA,NA
DL,Montravius Adams,304,75.625,32.75,9.25,29,108,30,https://www.espn.com/college-sports/football/recruiting/player/_/id/132098/montravius-adams,75,281,5.31,4.95,24.4,dt,NA,NA
DL,Derek Barnett,259,75,32.125,10,31,117,24,https://www.espn.com/college-sports/football/recruiting/player/_/id/169896/derek-barnett,75,274,4.89,4.24,29.3,dl,109.92,NA
DL,Tashawn Bower,250,76.75,33.375,9.875,31.5,121,23,https://www.espn.com/college-sports/football/recruiting/player/_/id/128323/tashawn-bower,77,241,4.89,4.75,28.7,dl,NA,NA
DL,Caleb Brantley,307,74.625,32,9.75,27,105,30,https://www.espn.com/college-sports/football/recruiting/player/_/id/132089/caleb-brantley,75,304,5.39,4.7,26.7,dt,NA,NA
